Slug,Waypoint Type,No. Drones,No. Targets,MTSP Algorithm,Min Distance,Mean Distance,Max Distance,Total Distance,Score,Time
random_50_50_hill_2,Random_50,2,50,HILL,4030.35,4681.80,5333.24,9363.59,14696.83,1.06
random_50_50_ga_2,Random_50,2,50,GA,7225.08,7429.61,7634.14,14859.23,22493.37,79.25
random_50_50_aco_2,Random_50,2,50,ACO,3290.71,3639.08,3987.44,7278.16,11265.60,22.97
random_50_50_tabu_2,Random_50,2,50,TABU,3428.89,3531.93,3634.98,7063.86,10698.84,71.88
random_50_50_hill_3,Random_50,3,50,HILL,2508.66,2998.07,3577.99,8994.20,12572.19,1.03
random_50_50_ga_3,Random_50,3,50,GA,4614.10,5288.83,5654.17,15866.48,21520.65,80.69
random_50_50_aco_3,Random_50,3,50,ACO,2091.53,2640.32,3641.78,7920.97,11562.75,23.40
random_50_50_tabu_3,Random_50,3,50,TABU,2808.11,2865.25,2927.68,8595.75,11523.43,72.54
random_50_50_hill_5,Random_50,5,50,HILL,663.68,1811.98,2510.79,9059.88,11570.67,1.07
random_50_50_ga_5,Random_50,5,50,GA,2223.64,3037.34,3938.86,15186.72,19125.58,82.99
random_50_50_aco_5,Random_50,5,50,ACO,1155.56,1752.92,2073.00,8764.61,10837.61,26.71
random_50_50_tabu_5,Random_50,5,50,TABU,2326.19,2612.88,2784.46,13064.38,15848.84,76.11